2011-01-08,10,SFIA,EMBR,20
2011-01-08,11,SFIA,EMBR,43
2011-01-08,12,SFIA,EMBR,36
2011-01-08,13,SFIA,EMBR,42
2011-01-08,14,SFIA,EMBR,42
2011-01-08,15,SFIA,EMBR,18
2011-01-08,16,SFIA,EMBR,19
2011-01-08,17,SFIA,EMBR,14
2011-01-08,18,SFIA,EMBR,11
2011-01-08,19,SFIA,EMBR,6
2011-01-08,20,SFIA,EMBR,14
2011-01-08,21,SFIA,EMBR,13
2011-01-08,22,SFIA,EMBR,7
2011-01-08,23,SFIA,EMBR,6
2011-01-09,8,SFIA,EMBR,7
2011-01-09,9,SFIA,EMBR,8
2011-01-09,10,SFIA,EMBR,8
2011-01-09,11,SFIA,EMBR,37
2011-01-09,12,SFIA,EMBR,16
2011-01-09,13,SFIA,EMBR,24
2011-01-09,14,SFIA,EMBR,22
2011-01-09,15,SFIA,EMBR,19
2011-01-09,16,SFIA,EMBR,21
2011-01-09,17,SFIA,EMBR,12
2011-01-09,18,SFIA,EMBR,19
2011-01-09,19,SFIA,EMBR,15
2011-01-09,20,SFIA,EMBR,8
2011-01-09,21,SFIA,EMBR,14
2011-01-09,22,SFIA,EMBR,13
2011-01-09,23,SFIA,EMBR,8
2011-01-10,0,SFIA,EMBR,6
2011-01-10,7,SFIA,EMBR,7
2011-01-10,8,SFIA,EMBR,30
2011-01-10,9,SFIA,EMBR,55
2011-01-10,10,SFIA,EMBR,50
2011-01-10,11,SFIA,EMBR,42
2011-01-10,12,SFIA,EMBR,56
2011-01-10,13,SFIA,EMBR,32
2011-01-10,14,SFIA,EMBR,26
2011-01-10,15,SFIA,EMBR,33
2011-01-10,16,SFIA,EMBR,9
2011-01-10,17,SFIA,EMBR,24
2011-01-10,18,SFIA,EMBR,14
2011-01-10,19,SFIA,EMBR,11
2011-01-10,20,SFIA,EMBR,23
2011-01-10,21,SFIA,EMBR,10
2011-01-10,22,SFIA,EMBR,9
2011-01-10,23,SFIA,EMBR,5
2011-01-11,0,SFIA,EMBR,2
2011-01-11,5,SFIA,EMBR,1
2011-01-11,7,SFIA,EMBR,5
2011-01-11,8,SFIA,EMBR,24
2011-01-11,9,SFIA,EMBR,36
2011-01-11,10,SFIA,EMBR,35
2011-01-11,11,SFIA,EMBR,50
2011-01-11,12,SFIA,EMBR,39
2011-01-11,13,SFIA,EMBR,29
2011-01-11,14,SFIA,EMBR,12
2011-01-11,15,SFIA,EMBR,20
2011-01-11,16,SFIA,EMBR,19
2011-01-11,17,SFIA,EMBR,18
2011-01-11,18,SFIA,EMBR,22
2011-01-11,19,SFIA,EMBR,3
2011-01-11,20,SFIA,EMBR,4
2011-01-11,21,SFIA,EMBR,5
2011-01-11,22,SFIA,EMBR,3
2011-01-12,0,SFIA,EMBR,6
2011-01-12,5,SFIA,EMBR,1
2011-01-12,6,SFIA,EMBR,4
2011-01-12,7,SFIA,EMBR,6
2011-01-12,8,SFIA,EMBR,17
2011-01-12,9,SFIA,EMBR,29
2011-01-12,10,SFIA,EMBR,43
2011-01-12,11,SFIA,EMBR,40
2011-01-12,12,SFIA,EMBR,26
2011-01-12,13,SFIA,EMBR,28
2011-01-12,14,SFIA,EMBR,25
2011-01-12,15,SFIA,EMBR,16
2011-01-12,16,SFIA,EMBR,18
2011-01-12,17,SFIA,EMBR,24
2011-01-12,18,SFIA,EMBR,21
2011-01-12,19,SFIA,EMBR,18
2011-01-12,20,SFIA,EMBR,14
2011-01-12,21,SFIA,EMBR,12
2011-01-12,22,SFIA,EMBR,3
2011-01-12,23,SFIA,EMBR,4
2011-01-13,0,SFIA,EMBR,5
2011-01-13,5,SFIA,EMBR,1
2011-01-13,7,SFIA,EMBR,5
2011-01-13,8,SFIA,EMBR,10
2011-01-13,9,SFIA,EMBR,27
2011-01-13,10,SFIA,EMBR,22
2011-01-13,11,SFIA,EMBR,18
2011-01-13,12,SFIA,EMBR,47
2011-01-13,13,SFIA,EMBR,39
2011-01-13,14,SFIA,EMBR,27
2011-01-13,15,SFIA,EMBR,26
2011-01-13,16,SFIA,EMBR,35
2011-01-13,17,SFIA,EMBR,13
2011-01-13,18,SFIA,EMBR,29
2011-01-13,19,SFIA,EMBR,20
